id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
"1978058e-d64c-45eb-b954-9d361ba0f0f8","Velisqa Silver-Tone Crystal Necklace for Women – Sparkling Round Pendant Chain Necklace","Bring effortless sparkle to your look with the Velisqa Silver-Tone Crystal Necklace for Women. Featuring multiple round crystal-inspired stones arranged along a delicate necklace design, this piece creates an elegant halo-style effect that catches the light beautifully. Its refined silver-tone finish makes it easy to pair with dresses, party wear, festive outfits and evening looks. A sophisticated jewellery piece for women who want a delicate yet eye-catching statement necklace.  Keywords: silver necklace for women, crystal necklace, necklace for women, pendant necklace, sparkling necklace, party wear jewellery.","in stock","new","629 INR","https://www.velisqa.com/product/1978058e-d64c-45eb-b954-9d361ba0f0f8","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787925162/velisqa/products/ob8fkqbt79yth0apkdqu.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"a6f24a34-3afa-42b5-8adb-f5c4418275e7","Velisqa Gold-Tone Bangle Bracelet for Women – Multi-Loop Twisted Design Statement Bracelet","Add a sophisticated layer to your jewellery collection with the Velisqa Gold-Tone Multi-Loop Bangle Bracelet. Designed with flowing overlapping bands and a distinctive twisted chain-detail accent, this statement bracelet combines contemporary styling with an elegant gold-tone finish. The sculptural design makes it a standout accessory for parties, festive occasions, dinners and special events, while its versatile look can also complement everyday outfits.","in stock","new","599 INR","https://www.velisqa.com/product/a6f24a34-3afa-42b5-8adb-f5c4418275e7","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787925017/velisqa/products/ddcmrnyvxhbyrt7pvrxg.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"6fbd8bd1-0edc-4d05-93a7-b70bd6a1499e","Velisqa Gold-Tone Bangle Bracelet for Women – Minimalist Open Crossover Statement Bracelet","Make a refined statement with the Velisqa Gold-Tone Bangle Bracelet for Women. Featuring a sleek open-crossover silhouette with smooth sculpted curves, this bracelet brings a contemporary finish to any outfit. Its clean design makes it easy to wear on its own or stack with other bracelets and bangles. Perfect for everyday styling, parties, dinners, festive occasions and modern ethnic or western looks.","in stock","new","599 INR","https://www.velisqa.com/product/6fbd8bd1-0edc-4d05-93a7-b70bd6a1499e","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787924855/velisqa/products/ttajtivmwya1vqvnawyo.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"1d4e3a10-1fea-456c-84ee-a8e675a3a8c2","Velisqa Gold-Tone Stud Earrings for Women","Elevate your everyday style with Velisqa Gold-Tone Stud Earrings featuring an elegant interwoven knot-inspired design. The layered, rounded structure gives these earrings a sophisticated and dimensional appearance, while the polished finish adds a refined shine. Their versatile design pairs effortlessly with casual outfits, office wear, dresses and occasion looks. A timeless choice for women looking for stylish statement stud earrings with a contemporary aesthetic.  Keywords: gold stud earrings, earrings for women, knot earrings, statement earrings, stylish earrings, women’s jewellery.","in stock","new","399 INR","https://www.velisqa.com/product/1d4e3a10-1fea-456c-84ee-a8e675a3a8c2","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787924701/velisqa/products/z7wzn0och9birql5iguh.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"ad2b6c6d-d2d3-452b-b2a0-49456e7bfb4f","Velisqa Gold-Tone Stud Earrings for Women – Sculpted Floral Statement Earrings","Add a modern touch to your jewellery collection with Velisqa Gold-Tone Stud Earrings for Women. Designed with a sculpted floral-inspired silhouette and a smooth polished finish, these statement earrings create an elegant yet contemporary look. The bold rounded design makes them easy to style with both ethnic and western outfits, while their versatile appearance works beautifully for everyday wear, parties, dinners and special occasions. A stylish jewellery piece for women who love minimal yet distinctive accessories.","in stock","new","449 INR","https://www.velisqa.com/product/ad2b6c6d-d2d3-452b-b2a0-49456e7bfb4f","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787924519/velisqa/products/is617xzxluorxp1eynb3.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"81eeaf34-3137-4449-956c-b14b5c3dddf4","Velisqa Silver Leaf Earrings for Women – Textured Leaf-Shaped Stud Earrings","Inspired by the natural beauty of leaves, these silver-tone stud earrings feature an elongated leaf silhouette with finely textured detailing. Their sleek organic shape adds a subtle statement to both everyday and occasion looks.  Highlights:  * Elegant leaf-inspired design * Detailed textured surface * Silver-tone finish * Stud-style fastening * Sophisticated minimalist aesthetic","in stock","new","459 INR","https://www.velisqa.com/product/81eeaf34-3137-4449-956c-b14b5c3dddf4","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787924260/velisqa/products/ksgecj8gymxtthpxc2q4.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"794f7eec-8fa2-4ff9-aa2f-bcdecf2dfd51","Velisqa Gold Heart Necklace for Women – Minimalist Open Heart Pendant Chain Necklace","Keep it timeless with this elegant open-heart necklace. The polished heart-shaped pendant features a graceful overlapping detail at its centre, creating a refined symbol of love and connection. A delicate chain completes the minimalist look.  Highlights:  * Classic open-heart pendant * Polished gold-tone finish * Delicate fine chain * Minimal and versatile design * Ideal for everyday wear or gifting","in stock","new","399 INR","https://www.velisqa.com/product/794f7eec-8fa2-4ff9-aa2f-bcdecf2dfd51","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787924099/velisqa/products/a4jzbfirvfgjnkx3yv6o.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"8bf79c81-62cf-4527-b0f1-c92434b2bbd9","Velisqa Gold Butterfly Necklace for Women – Minimalist Butterfly Pendant Chain Necklace","A delicate expression of transformation and elegance, this butterfly-inspired necklace features an open-frame pendant with gracefully curved detailing. Paired with a fine gold-tone chain, it creates a subtle yet distinctive look for everyday and occasion wear.  Highlights:  * Elegant butterfly-inspired pendant * Minimal open-frame design * Fine gold-tone chain * Lightweight and versatile * Perfect for layering or wearing solo","in stock","new","399 INR","https://www.velisqa.com/product/8bf79c81-62cf-4527-b0f1-c92434b2bbd9","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787923956/velisqa/products/fadi6eysoeonwdhxn4gw.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"cb2a0828-0eb7-4c41-97df-be5f4195ea9b","Velisqa Gold Hoop Earrings for Women – Chunky Sculpted U-Shaped Statement Earrings","Make a statement with these sleek sculpted hoop earrings, featuring a smooth, fluid silhouette and polished gold-tone finish. Their contemporary shape adds a sophisticated edge while remaining versatile enough for everyday styling and special occasions.  Highlights:  * Modern sculpted hoop design * High-shine gold-tone finish * Secure stud-and-back closure * Easy to pair with casual or occasion wear * Elegant everyday statement piece","in stock","new","439 INR","https://www.velisqa.com/product/cb2a0828-0eb7-4c41-97df-be5f4195ea9b","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787923800/velisqa/products/jkjvfspqtokyvbiwgoi1.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
"1af3ccb6-95df-44fe-b825-903a591e6027","Velisqa Pearl Burst Stud Earrings for Women | Gold-Tone Pearl Cluster Earrings | Elegant Statement Jewelry","Add a sophisticated touch to your everyday style with these elegant Velisqa Pearl & Crystal Stud Earrings. Featuring lustrous white pearl accents, sparkling crystal details, and a refined gold-tone finish, the design offers a timeless yet contemporary look.  The earrings feature 925 sterling silver needles, making them a thoughtful choice for comfortable everyday wear. Their elegant design works beautifully with casual outfits, office looks, festive occasions, parties, and special events.  Key Features:  * 925 sterling silver needle * White pearl detailing * Sparkling crystal accents * Elegant gold-tone finish * Stylish circular design * Suitable for everyday and occasion wear * Ideal gift for women and girls","in stock","new","699 INR","https://www.velisqa.com/product/1af3ccb6-95df-44fe-b825-903a591e6027","https://res.cloudinary.com/dyshhpbhf/image/upload/v1787742130/velisqa/products/hbvh82wvup1bdtkldwj7.png","Velisqa","Apparel & Accessories > Jewelry","Jewelry"
